Report Date,Provincetown TCC,Truro TCC,Wellfleet TCC,"P,T","P,T,W",14-day Case Count,14-day Tests,14-day Positive Tests,Days since 2020-07-01,
2020-07-08,22,10,5,32,37,,,,7,2020-07-08
2020-07-29,27,10,5,37,42,<5,192,1,28,2020-07-29
2020-08-05,27,11,5,38,43,,,,35,2020-08-05
2020-08-26,28,11,6,39,45,0,168,0,56,2020-08-26
2020-09-02,29,11,7,40,47,,,,63,2020-09-02
2020-09-30,30,12,8,42,50,<5,134,2,91,2020-09-30
2020-10-07,30,13,8,43,51,,,,98,2020-10-07
2020-10-14,30,13,8,43,51,,,,105,2020-10-14
2020-10-22,30,13,8,43,51,,,,113,2020-10-22
2020-10-29,30,13,8,43,51,0,148,0,120,2020-10-29
2020-11-05,32,14,9,46,55,,,,127,2020-11-05
2020-11-12,32,14,12,46,58,<5,204,2,134,2020-11-12
2020-11-19,32,14,13,46,59,0,141,0,141,2020-11-19
2020-11-27,32,15,15,47,62,0,182,0,149,2020-11-27
2020-12-03,32,15,18,47,65,,,,155,2020-12-03
2020-12-10,35,17,20,52,72,<5,262,3,162,2020-12-10
2020-12-17,36,18,25,54,79,<5,297,5,169,2020-12-17
2020-12-24,40,18,26,58,84,5,297,6,176,2020-12-24
2020-12-31,43,18,28,61,89,6,269,6,183,2020-12-31
2021-01-07,47,18,29,65,94,6,231,7,190,2021-01-07
2021-01-14,51,19,33,70,103,9,242,10,197,2021-01-14
2021-01-21,55,22,36,77,113,8,258,9,204,2021-01-21
2021-01-28,57,25,44,82,126,6,253,7,211,2021-01-28
2021-02-04,59,32,48,91,139,<5,259,4,218,2021-02-04
2021-02-11,60,36,51,96,147,<5,391,4,225,2021-02-11
2021-02-18,60,38,52,98,150,<5,251,4,232,2021-02-18
2021-02-25,61,38,55,99,154,0,233,1,239,2021-02-25
2021-03-04,62,39,56,101,157,<5,256,3,246,2021-03-04
2021-03-11,65,38,59,103,162,5,256,7,253,2021-03-11
2021-03-18,69,39,61,108,169,7,223,8,260,2021-03-18
2021-03-25,71,42,63,113,176,5,218,6,267,2021-03-25
2021-04-01,71,43,63,114,177,<5,194,3,274,2021-04-01
2021-04-08,72,44,65,116,181,0,187,0,281,2021-04-08
2021-04-15,76,49,65,125,190,<5,216,1,288,2021-04-15
2021-04-22,76,51,73,127,200,5,209,5,295,2021-04-22
2021-04-29,76,52,76,128,204,<5,211,4,302,2021-04-29
2021-05-06,81,55,76,136,212,<5,215,5,309,2021-05-06
2021-05-13,82,57,77,139,216,6,212,6,316,2021-05-13
2021-05-20,82,57,78,139,217,<5,164,1,323,2021-05-20
2021-05-27,82,57,79,139,218,0,114,0,330,2021-05-27
2021-06-03,82,57,79,139,218,0,94,0,337,2021-06-03
